iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
114,137363,701.9838709677418,74,551,5,21,3,2,5,4,9,8,12,5,35,165,37,38,42,32,60,53,69,20
115,922193,690.3591397849463,75,550,5,25,3,2,4,3,8,11,11,3,35,161,37,38,43,33,61,50,70,22
116,734453,695.7118279569893,71,554,7,17,2,4,7,10,2,6,12,4,33,169,38,36,40,26,67,55,69,21
117,339580,688.7946236559139,68,557,5,18,3,1,9,4,8,10,8,2,35,168,37,39,38,32,61,51,73,23
118,686262,699.6021505376344,72,553,7,21,3,7,3,5,8,7,9,2,33,165,37,33,44,31,61,54,72,23
119,10350,691.058064516129,74,551,3,19,9,1,3,3,13,11,8,4,37,167,31,39,44,33,56,50,73,21
120,130251,693.3559139784945,74,551,4,22,7,4,2,4,8,7,13,3,36,164,33,36,45,32,61,54,68,22
121,254481,689.3193548387096,70,555,8,15,4,2,6,6,10,10,4,5,32,171,36,38,41,30,59,51,77,20
122,605770,695.132258064516,75,550,3,27,5,2,9,5,9,2,12,1,37,159,35,38,38,31,60,59,69,24
123,314101,699.2784946236558,76,549,2,22,4,6,5,4,10,6,13,4,38,164,36,34,42,32,59,55,68,21
124,993572,704.0494623655914,72,553,5,22,4,4,3,2,11,10,9,2,35,164,36,36,44,34,58,51,72,23
125,815089,693.7290322580645,71,554,10,21,4,3,3,3,9,8,8,2,30,165,36,37,44,33,60,53,73,23
126,164814,699.3064516129032,71,554,5,20,2,2,6,3,8,2,15,8,35,166,38,38,41,33,61,59,66,17
127,514513,697.0204301075267,72,553,4,25,6,4,7,1,9,4,9,3,36,161,34,36,40,35,60,57,72,22
128,930922,692.7591397849462,71,554,4,20,3,4,4,3,15,6,9,3,36,166,37,36,43,33,54,55,72,22
129,873102,699.516129032258,77,548,3,24,3,4,5,4,6,10,12,6,37,162,37,36,42,32,63,51,69,19
130,1770,695.2505376344086,71,554,4,23,1,4,5,5,9,11,8,1,36,163,39,36,42,31,60,50,73,24
131,73130,696.3666666666667,69,556,6,18,6,1,6,6,6,7,9,4,34,168,34,39,41,30,63,54,72,21
132,800367,692.4430107526882,73,552,2,19,8,4,6,4,12,6,10,2,38,167,32,36,41,32,57,55,71,23
133,868235,692.7849462365591,71,554,1,23,6,5,4,1,10,8,11,2,39,163,34,35,43,35,59,53,70,23
134,39187,689.7451612903226,75,550,4,25,3,4,7,1,9,8,9,5,36,161,37,36,40,35,60,53,72,20
135,588064,692.7086021505377,74,551,4,20,5,2,6,6,10,10,9,2,36,166,35,38,41,30,59,51,72,23
136,468008,695.1376344086021,74,551,3,24,4,7,5,6,6,6,10,3,37,162,36,33,42,30,63,55,71,22
137,601384,690.1225806451612,73,552,2,22,7,2,5,2,11,11,9,2,38,164,33,38,42,34,58,50,72,23
138,736570,685.2838709677419,73,552,8,20,4,8,4,3,9,5,10,2,32,166,36,32,43,33,60,56,71,23
139,15208,682.8258064516128,73,552,6,21,5,6,4,6,16,3,5,1,34,165,35,34,43,30,53,58,76,24
140,807817,693.4376344086022,63,562,0,22,3,4,6,3,6,9,9,1,40,164,37,36,41,33,63,52,72,24
141,655779,698.8505376344085,67,558,3,15,4,5,5,7,10,6,9,3,37,171,36,35,42,29,59,55,72,22
142,776325,690.7397849462366,69,556,5,17,1,6,6,7,10,7,4,6,35,169,39,34,41,29,59,54,77,19
143,69698,697.9408602150538,71,554,3,19,3,5,6,7,11,9,7,1,37,167,37,35,41,29,58,52,74,24
144,725663,697.1247311827957,74,551,8,24,5,2,8,8,4,8,6,1,32,162,35,38,39,28,65,53,75,24
145,810493,701.3182795698924,70,555,3,20,2,8,6,5,5,3,15,3,37,166,38,32,41,31,64,58,66,22
146,805206,694.074193548387,75,550,4,22,6,5,7,4,8,10,7,2,36,164,34,35,40,32,61,51,74,23
147,783340,685.8924731182796,73,552,9,25,3,4,4,2,8,6,8,4,31,161,37,36,43,34,61,55,73,21
148,838749,693.010752688172,73,552,5,16,3,3,6,7,11,11,9,2,35,170,37,37,41,29,58,50,72,23
149,263843,703.0215053763441,74,551,1,19,4,4,9,7,8,6,11,5,39,167,36,36,38,29,61,55,70,20
150,28374,692.4215053763442,72,553,4,25,1,6,3,4,7,11,9,2,36,161,39,34,44,32,62,50,72,23
151,17219,685.5774193548386,69,556,9,21,5,4,3,5,6,8,6,2,31,165,35,36,44,31,63,53,75,23
152,995989,697.0924731182795,69,556,7,12,4,2,4,5,12,10,9,4,33,174,36,38,43,31,57,51,72,21
153,251042,696.510752688172,72,553,4,22,5,6,5,9,6,6,7,2,36,164,35,34,42,27,63,55,74,23
154,554510,684.2666666666667,71,554,5,24,4,3,6,7,5,7,9,1,35,162,36,37,41,29,64,54,72,24
155,135216,702.3387096774194,72,553,9,16,4,8,3,6,5,6,10,5,31,170,36,32,44,30,64,55,71,20
156,279010,697.3838709677419,75,550,3,22,6,2,5,8,14,6,8,1,37,164,34,38,42,28,55,55,73,24
157,852863,687.4806451612902,73,552,4,16,4,5,2,9,11,10,7,5,36,170,36,35,45,27,58,51,74,20
158,666933,693.7322580645161,75,550,6,21,4,2,10,6,7,3,12,4,34,165,36,38,37,30,62,58,69,21
159,366921,695.0838709677419,70,555,5,21,1,2,5,1,10,9,11,5,35,165,39,38,42,35,59,52,70,20
160,603026,688.3204301075268,72,553,5,19,5,7,7,3,4,10,10,2,35,167,35,33,40,33,65,51,71,23
161,213059,684.732258064516,72,553,3,21,5,3,8,7,7,9,6,3,37,165,35,37,39,29,62,52,75,22
162,139643,684.752688172043,69,556,1,25,4,5,4,6,6,11,6,1,39,161,36,35,43,30,63,50,75,24
163,941683,688.4666666666667,71,554,7,16,7,3,3,8,10,8,8,1,33,170,33,37,44,28,59,53,73,24
164,630408,690.7408602150538,75,550,2,20,7,4,12,3,16,6,5,0,38,166,33,36,35,33,53,55,76,25
165,967531,692.6752688172041,73,552,3,19,2,12,5,8,3,9,8,4,37,167,38,28,42,28,66,52,73,21
166,718842,700.1881720430107,74,551,2,18,6,2,6,6,11,6,14,3,38,168,34,38,41,30,58,55,67,22
167,442669,694.4526881720429,72,553,4,22,1,3,6,4,10,11,10,1,36,164,39,37,41,32,59,50,71,24
168,515824,698.7129032258064,72,553,2,23,3,7,6,3,8,7,10,3,38,163,37,33,41,33,61,54,71,22
169,343230,699.4505376344086,72,553,4,20,3,4,7,4,5,10,13,2,36,166,37,36,40,32,64,51,68,23
170,513445,700.1892473118279,69,556,2,14,5,2,8,2,10,10,14,2,38,172,35,38,39,34,59,51,67,23
171,246242,687.8301075268818,74,551,6,29,2,7,6,1,10,6,5,2,34,157,38,33,41,35,59,55,76,23
172,609508,696.4204301075268,71,554,7,21,0,5,7,3,7,5,11,5,33,165,40,35,40,33,62,56,70,20
173,361151,696.7279569892473,70,555,2,22,3,6,7,4,5,7,11,3,38,164,37,34,40,32,64,54,70,22
174,959454,692.505376344086,73,552,2,21,3,2,8,5,8,10,9,5,38,165,37,38,39,31,61,51,72,20
175,353827,693.0569892473117,74,551,8,26,6,3,3,6,6,5,9,2,32,160,34,37,44,30,63,56,72,23
176,25294,692.4677419354839,72,553,7,21,4,5,5,8,9,5,4,4,33,165,36,35,42,28,60,56,77,21
177,54804,694.3193548387096,70,555,3,27,5,3,4,4,7,9,5,3,37,159,35,37,43,32,62,52,76,22
178,301498,696.5118279569891,65,560,2,19,7,5,3,4,8,6,9,2,38,167,33,35,44,32,61,55,72,23
179,820860,700.3451612903225,75,550,6,20,4,6,5,3,9,8,11,3,34,166,36,34,42,33,60,53,70,22
180,254931,693.9010752688171,69,556,2,20,5,4,6,6,7,6,10,3,38,166,35,36,41,30,62,55,71,22
181,545311,694.6817204301076,66,559,5,23,7,5,1,1,8,8,6,2,35,163,33,35,46,35,61,53,75,23
182,790456,692.6236559139784,70,555,6,20,6,6,5,3,7,8,7,2,34,166,34,34,42,33,62,53,74,23
183,88220,687.7247311827957,72,553,5,23,3,8,5,4,9,5,9,1,35,163,37,32,42,32,60,56,72,24
